id_dosen,hari,id_sesi,keterangan,id_ruangan
18,Senin,1,Mengajar Desain Pengalaman Pengguna kelas TRPL-2A di G7.04,
18,Senin,2,Mengajar Desain Pengalaman Pengguna kelas TRPL-2A di G7.04,
18,Senin,3,Mengajar Praktikum Desain Pengalaman Pengguna kelas TRPL-2A di G7.04,
18,Senin,4,Mengajar Praktikum Desain Pengalaman Pengguna kelas TRPL-2A di G7.04,
18,Senin,5,Mengajar Praktikum Desain Pengalaman Pengguna kelas TRPL-2A di G7.04,
18,Rabu,1,Mengajar Struktur Data kelas TRPL-1D di LAB. DESIGN,5
18,Rabu,2,Mengajar Struktur Data kelas TRPL-1D di LAB. DESIGN,5
18,Rabu,3,Mengajar Praktikum Struktur Data kelas TRPL-1D di LAB. DESIGN,5
18,Rabu,4,Mengajar Praktikum Struktur Data kelas TRPL-1D di LAB. DESIGN,5
18,Rabu,5,Mengajar Praktikum Struktur Data kelas TRPL-1D di LAB. DESIGN,5
18,Rabu,6,Mengajar Struktur Data kelas TRPL-1E di LAB. DESIGN,6
18,Rabu,7,Mengajar Struktur Data kelas TRPL-1E di LAB. DESIGN,6
18,Rabu,8,Mengajar Praktikum Struktur Data kelas TRPL-1E di LAB. DESIGN,6
18,Rabu,9,Mengajar Praktikum Struktur Data kelas TRPL-1E di LAB. DESIGN,6
18,Rabu,10,Mengajar Praktikum Struktur Data kelas TRPL-1E di LAB. DESIGN,6
19,Senin,3,Mengajar Kewirausahaan dan manajemen bisnis kelas BSD G7.10,
19,Senin,4,Mengajar Kewirausahaan dan manajemen bisnis kelas BSD G7.10,
19,Senin,6,Mengajar Kewirausahaan dan manajemen bisnis kelas BSD G7.10,
19,Senin,7,Mengajar Kewirausahaan dan manajemen bisnis kelas BSD G7.10,
19,Senin,8,Mengajar Aljabar kelas BSD G7.10,
19,Senin,9,Mengajar Aljabar kelas BSD G7.10,
19,Selasa,3,Mengajar Kewirausahaan dan manajemen bisnis kelas BSD G7.03,
19,Selasa,4,Mengajar Kewirausahaan dan manajemen bisnis kelas BSD G7.03,
19,Selasa,6,Mengajar Kewirausahaan dan manajemen bisnis kelas BSD di Co working,2
19,Selasa,7,Mengajar Kewirausahaan dan manajemen bisnis kelas BSD di Co working,2
19,Selasa,8,Mengajar Kewirausahaan dan manajemen bisnis kelas BSD di Co working,2
19,Kamis,1,Mengajar Kewirausahaan dan manajemen bisnis kelas BSD di Co working,2
19,Kamis,2,Mengajar Kewirausahaan dan manajemen bisnis kelas BSD di Co working,2
19,Kamis,3,Mengajar Kewirausahaan dan manajemen bisnis kelas BSD di Co working,2
19,Kamis,4,Mengajar Kewirausahaan dan manajemen bisnis kelas BSD di Co working,2
19,Kamis,5,Mengajar Kewirausahaan dan manajemen bisnis kelas BSD di Co working,2
19,Kamis,6,Mengajar Kewirausahaan dan manajemen bisnis kelas BSD di Co working,2
19,Kamis,7,Mengajar Kewirausahaan dan manajemen bisnis kelas BSD di Co working,2
19,Kamis,8,Mengajar Kewirausahaan dan manajemen bisnis kelas BSD di Co working,2
20,Senin,1,Mengajar Konten Marketing kelas BSD-2A di LAB. COWORKING,2
20,Senin,2,Mengajar Konten Marketing kelas BSD-2A di LAB. COWORKING,2
20,Senin,3,Mengajar Praktikum Konten Marketing kelas BSD-2A di LAB. COWORKING,2
20,Senin,4,Mengajar Praktikum Konten Marketing kelas BSD-2A di LAB. COWORKING,2
20,Senin,5,Mengajar Praktikum Konten Marketing kelas BSD-2A di LAB. COWORKING,2
20,Senin,6,Mengajar Konten Marketing kelas BSD-2B di LAB. COWORKING,2
20,Senin,7,Mengajar Konten Marketing kelas BSD-2B di LAB. COWORKING,2
20,Senin,8,Mengajar Praktikum Konten Marketing kelas BSD-2B di LAB. COWORKING,2
20,Senin,9,Mengajar Praktikum Konten Marketing kelas BSD-2B di LAB. COWORKING,2
20,Senin,10,Mengajar Praktikum Konten Marketing kelas BSD-2B di LAB. COWORKING,2
20,Selasa,1,Mengajar Konten Marketing kelas BSD-2C di LAB. COWORKING,2
20,Selasa,2,Mengajar Konten Marketing kelas BSD-2C di LAB. COWORKING,2
20,Selasa,3,Mengajar Praktikum Konten Marketing kelas BSD-2C di LAB. COWORKING,2
20,Selasa,4,Mengajar Praktikum Konten Marketing kelas BSD-2C di LAB. COWORKING,2
20,Selasa,5,Mengajar Praktikum Konten Marketing kelas BSD-2C di LAB. COWORKING,2
20,Rabu,1,Mengajar Manajemen keuangan kelas BSD-1B di LAB. COWORKING,2
20,Rabu,2,Mengajar Manajemen keuangan kelas BSD-1B di LAB. COWORKING,2
20,Rabu,3,Mengajar Praktikum Manajemen Keuangan kelas BSD-1B di LAB. COWORKING,2
20,Rabu,4,Mengajar Praktikum Manajemen Keuangan kelas BSD-1B di LAB. COWORKING,2
20,Rabu,5,Mengajar Praktikum Manajemen Keuangan kelas BSD-1B di LAB. COWORKING,2
20,Rabu,6,Mengajar Manajemen keuangan kelas BSD-1C di LAB. COWORKING,2
20,Rabu,7,Mengajar Manajemen keuangan kelas BSD-1C di LAB. COWORKING,2
20,Rabu,8,Mengajar Praktikum Manajemen Keuangan kelas BSD-1C di LAB. COWORKING,2
20,Rabu,9,Mengajar Praktikum Manajemen Keuangan kelas BSD-1C di LAB. COWORKING,2
20,Rabu,10,Mengajar Praktikum Manajemen Keuangan kelas BSD-1C di LAB. COWORKING,2
21,Rabu,1,Mengajar Manajemen Proyek kelas TRPL-2E di G7.06,
21,Rabu,2,Mengajar Manajemen Proyek kelas TRPL-2E di G7.06,
21,Jumat,1,Mengajar Pemrograman Berorientasi Objek kelas TRPL-1D di LAB. PROGRAM 1,3
21,Jumat,2,Mengajar Pemrograman Berorientasi Objek kelas TRPL-1D di LAB. PROGRAM 1,3
21,Jumat,3,Mengajar Praktikum Pemrograman Berorientasi Objek kelas TRPL-1D di LAB. PROGRAM 1,3
21,Jumat,4,Mengajar Praktikum Pemrograman Berorientasi Objek kelas TRPL-1D di LAB. PROGRAM 1,3
21,Jumat,5,Mengajar Praktikum Pemrograman Berorientasi Objek kelas TRPL-1D di LAB. PROGRAM 1,3
21,Jumat,6,Mengajar Pemrograman Berorientasi Objek kelas TRPL-1E di LAB. PROGRAM 1,3
21,Jumat,7,Mengajar Pemrograman Berorientasi Objek kelas TRPL-1E di LAB. PROGRAM 1,3
21,Jumat,8,Mengajar Praktikum Pemrograman Berorientasi Objek kelas TRPL-1E di LAB. PROGRAM 1,3
21,Jumat,9,Mengajar Praktikum Pemrograman Berorientasi Objek kelas TRPL-1E di LAB. PROGRAM 1,3
21,Jumat,10,Mengajar Praktikum Pemrograman Berorientasi Objek kelas TRPL-1E di LAB. PROGRAM 1,3
22,Senin,1,Mengajar Sistem Terdistribusi di G7.06,
22,Senin,2,Mengajar Sistem Terdistribusi di G7.06,
22,Senin,3,Mengajar Sistem Terdistribusi di G7.06,
22,Senin,4,Mengajar Sistem Terdistribusi di G7.06,
22,Senin,5,Mengajar Sistem Terdistribusi di G7.06,
22,Senin,6,Mengajar Sistem Terdistribusi di G7.06,
22,Senin,7,Mengajar Sistem Terdistribusi di G7.06,
22,Senin,8,Mengajar Sistem Terdistribusi di G7.06,
22,Senin,9,Mengajar Sistem Terdistribusi di G7.06,
22,Senin,10,Mengajar Sistem Terdistribusi di G7.06,
22,Kamis,6,Mengajar Teknologi Nirkabel di LAB.MULTIMEDIA,7
22,Kamis,7,Mengajar Teknologi Nirkabel di LAB.MULTIMEDIA,7
22,Kamis,8,Mengajar Teknologi Nirkabel di LAB.MULTIMEDIA,7
22,Kamis,9,Mengajar Teknologi Nirkabel di LAB.MULTIMEDIA,7
22,Kamis,10,Mengajar Teknologi Nirkabel di LAB.MULTIMEDIA,7
22,Jumat,6,Mengajar Teknologi Nirkabel di LAB.MULTIMEDIA,7
22,Jumat,7,Mengajar Teknologi Nirkabel di LAB.MULTIMEDIA,7
22,Jumat,8,Mengajar Teknologi Nirkabel di LAB.MULTIMEDIA,7
